,ID,ROOM NAME,LOCALITY,REGION,OLD PRICE,PRICE AFTER DISCOUNT,DISCOUNT,ratings
121,121,MedRooms  676 Safdarjung Enclave 2,"B Block, Safdurjung Enclave",Delhi,3449.0,2587,25.0 ,5
122,122,MedRooms  591 Hauz Khas Village,SDA,Delhi,3249.0,2437,25.0 ,1
123,123,MedRooms  555 Pitampura,"Rajdhani Enclave,Pitampura",Delhi,3299.0,2474,25.0 ,3
124,124,MedRooms  545 Rohini Pitampura,"Saraswati Vihar, Pitampura",Delhi,3149.0,2362,25.0 ,3
125,125,MedRooms  547 Paschim Vihar 2,"Paschim Enclave, Nh-10",Delhi,2999.0,2249,25.0 ,5
126,126,MedRooms  354 GK2 M Block Market,"E Block,Greater Kailash II",Delhi,2749.0,2062,25.0 ,0
127,127,MedRooms  498 South Ex Market,"C Block, South Extension 1",Delhi,2399.0,1799,25.0 ,1
128,128,MedRooms Premium 608 GK2 M Block Market,"Ground Floor, Greater Kailash II, Road No. 10, Near M Block Market",Delhi,2749.0,2062,25.0 ,0
129,129,MedRooms  010 Karol Bagh 1078,"Karol Bagh, New Delhi",Delhi,1699.0,1274,25.0 ,1
130,130,MedRooms Premium 208 GK 1 M Block Market,Greater Kailash,Delhi,6849.0,5137,25.0 ,5
131,131,MedRooms  091 WEA Karol Bagh,Karol Bagh,Delhi,1999.0,1499,25.0 ,0
132,132,MedRooms  124 Kirti Nagar,Kirti Nagar,Delhi,1549.0,1162,25.0 ,2
133,133,MedRooms Premium 404 International Airport Terminal 3 Extension,"A Block, Mahipalpur Extension, NH8, New",Delhi,3549.0,2662,25.0 ,2
134,134,MedRooms  039 Near Qutub Road Arya Nagar Paharganj,Paharganj,Delhi,1099.0,824,25.0 ,2
135,135,MedRooms Homes 330 New Friends Colony,Friends Colony East,Delhi,3999.0,2999,25.0 ,5
136,136,MedRooms Premium 081 Domestic Airport Delhi,"Khasara No.395, Vasant Kunj Road, Mahipalpur",Delhi,3299.0,2474,25.0 ,2
137,137,MedRooms  031 Near IGI Airport Aerocity,"National Highway No. 8, Mahipalpur",Delhi,3749.0,2812,25.0 ,5
138,138,MedRooms  437 North Campus,"Opposite Parmarth Hospital, Above Allahabad Bank",Delhi,2549.0,1912,25.0 ,5
139,139,MedRooms  541 Dwarka Sector 13 Metro Station,"Sector 13, Dwarka",Delhi,3849.0,2887,25.0 ,5
140,140,MedRooms  079 Delhi International Airport,"Mahipalpur Extn, Near Airport, National Highway -8",Delhi,3249.0,2437,25.0 ,5
141,141,MedRooms  190 Opp IGI Airport,"NH 8, Near IGI Airport Road No. 1, Mahipalpur Extension",Delhi,3749.0,2812,25.0 ,1
142,142,MedRooms  506 GK 1 Market,Greater Kailash 1,Delhi,5099.0,3824,25.0 ,5
143,143,MedRooms  540 Near Pitampura Metro,Dakshini Pitampura,Delhi,3499.0,2624,25.0 ,0
144,144,MedRooms  051 New Friends Colony Market,New Friends Colony,Delhi,2949.0,2212,25.0 ,4
145,145,MedRooms Premium 586 Near Meera Bagh,"Outer Ring Road, Meera Bagh",Delhi,3949.0,2962,25.0 ,3
146,146,MedRooms Premium 311 Ring Road GK1 2,Greater Kailash 1,Delhi,4749.0,3562,25.0 ,4
147,147,MedRooms  028 Friends Hospital NFC,Maharani Bagh,Delhi,2299.0,1724,25.0 ,1
148,148,MedRooms  082 Patel Nagar Main Market,Main Market,Delhi,3399.0,2549,25.0 ,3
149,149,MedRooms Premium 510 International Airport Terminal 3,Opposite Kapashera Police Station Kapashera,Delhi,3349.0,2512,25.0 ,1
150,150,MedRooms  566 Saket J Block,"Opposite J Block Market, Saket",Delhi,3499.0,2624,25.0 ,4
151,151,MedRooms  157 Delhi Airport 2,"Opposite Indra Gandhi International Airport, Mahipalpur Extension, NH-8",Delhi,1899.0,1424,25.0 ,3
152,152,MedRooms  184 Aerodrome Near IGI Airport,"Mahipalpur, NH-8, Near IGI Airport",Delhi,3399.0,2549,25.0 ,4
153,153,MedRooms Premium 069 Patel Nagar,Metro Pillar No. 162,Delhi,4499.0,3374,25.0 ,5
154,154,MedRooms  524 International Airport Delhi,"A Block, N.H.8, Mahipalpur New",Delhi,3199.0,2399,25.0 ,5
155,155,MedRooms  205 Dwarka Sector 12 Metro Station,Dwarka,Delhi,3399.0,2549,25.0 ,2
156,156,MedRooms Premium 405 GK1 Near M Block Market,Greater Kailash -1,Delhi,4499.0,3374,25.0 ,5
157,157,MedRooms  535 Chattarpur,Chandan Hola,Delhi,4049.0,3037,25.0 ,4
158,158,MedRooms  321 Near RK Ashram Metro Station 3,Paharganj,Delhi,1349.0,1012,25.0 ,1
159,159,MedRooms  219 Grace Church NFC,Kirokli,Delhi,2649.0,1987,25.0 ,2
160,160,MedRooms  170 Shadipur Metro Station,West Patel Nagar,Delhi,2399.0,1799,25.0 ,0
161,161,MedRooms  365 Indra Gandhi Airport Main Road,"Next to Hotel Radisson, Near IGI Airport, Rangpuri",Delhi,2599.0,1949,25.0 ,1
162,162,MedRooms  088 East Patel Nagar,Near Metro Pillar No.161,Delhi,2449.0,1837,25.0 ,1
163,163,MedRooms Premium 407 South Delhi Grand Stay,Aruna Asaf Ali Marg,Delhi,4199.0,3149,25.0 ,4
164,164,MedRooms  014 New Friends Colony Crossroad,CV Raman Marg,Delhi,2249.0,1687,25.0 ,2
165,165,MedRooms  560 Vasant Vihar 2,Rao Tula Ram Marg,Delhi,3099.0,2324,25.0 ,1
166,166,MedRooms Homes 520 GK 1 M Block Market,Greater Kailash 1,Delhi,3399.0,2549,25.0 ,0
167,167,MedRooms Elite 557 Panchsheel Enclave,Panchshila Park,Delhi,5649.0,4237,25.0 ,5
168,168,MedRooms  253 New Friends Colony 2,New Friends colony,Delhi,3849.0,2887,25.0 ,1
169,169,MedRooms  169 Near DPS Vasantkunj,Vasant Kunj,Delhi,2099.0,1574,25.0 ,0
170,170,MedRooms  585 Near Sector 10 Metro Dwarka,"Sector 10 Dwarka, In front of metro station",Delhi,3599.0,2699,25.0 ,5
171,171,MedRooms Homes 275 Saket J Block,Saket,Delhi,3399.0,2549,25.0 ,1
172,172,MedRooms Premium 534 Dwarka Near Ramphal Chowk,Dwarka Palam Road,Delhi,2549.0,1912,25.0 ,3
173,173,MedRooms  145 Paschim Vihar,Rohtak Road,Delhi,3049.0,2287,25.0 ,0
174,174,MedRooms  249 Nehru Place Flyover,Greater Kailash 1,Delhi,3599.0,2699,25.0 ,0
175,175,MedRooms  280 J Block Vikaspuri Delhi,Vikaspuri,Delhi,2199.0,1649,25.0 ,3
176,176,MedRooms Homes 110 Jangpura Ext,Jangpura Extension,Delhi,3049.0,2287,25.0 ,3
177,177,MedRooms  204 Rajendra Place Metro Station,East Patel Nagar,Delhi,2299.0,1724,25.0 ,2
178,178,MedRooms  518 ZION Church Patel Nagar,East Patel nagar,Delhi,2149.0,1612,25.0 ,1
179,179,MedRooms  263 PVR Vikas Puri,Vikas Puri,Delhi,2549.0,1912,25.0 ,2
180,180,MedRooms Premium 232 Jasola Near DLF Tower,Jasola,Delhi,4949.0,3712,25.0 ,3
181,181,MedRooms Apartments 273 Dwarka Sector 12,Dwarka,Delhi,2199.0,1649,25.0 ,4
182,182,MedRooms Premium 187 Hari Nagar,Hari Nagar,Delhi,3399.0,2549,25.0 ,3
183,183,MedRooms  057 Dwarka Sector 19,Dwarka,Delhi,1649.0,1237,25.0 ,1
184,184,MedRooms Homes 456 Rani Bagh,Rani Bagh,Delhi,1799.0,1349,25.0 ,2
185,185,MedRooms  480 IGI Airport 4,"Road no 2, Mahipalpur",Delhi,1649.0,1237,25.0 ,3
186,186,MedRooms Premium 129 Dwarka Sector 7,Dwarka,Delhi,3799.0,2849,25.0 ,5
187,187,MedRooms Homes 438 Janakpuri,Janak Puri,Delhi,1649.0,1237,25.0 ,1
188,188,MedRooms Premium 050 Jasola DAV,Jasola,Delhi,2299.0,1724,25.0 ,0
189,189,MedRooms  203 llahi Bux Marg Karol Bagh,Karol Bagh,Delhi,2049.0,1537,25.0 ,3
190,190,MedRooms  351 Saraswati Marg Karol Bagh,Saraswati Marg,Delhi,1699.0,1274,25.0 ,0
191,191,MedRooms Homes 501 Vasant Kunj Near Fortis,Shanti Kunj,Delhi,1799.0,1349,25.0 ,0
192,192,MedRooms Premium 559 Connaught Place Travellers Delight,Connaught Circus,Delhi,5999.0,4499,25.0 ,1
193,193,MedRooms  522 Karol Bagh 17A-13 Gurudwara Road,Karol Bagh,Delhi,1599.0,1199,25.0 ,4
194,194,MedRooms  216 Ministry of Rural Development Delhi,East Patel Nagar,Delhi,2299.0,1724,25.0 ,1
195,195,MedRooms  026 Karol Bagh,Karol Bagh,Delhi,2049.0,1537,25.0 ,5
196,196,MedRooms  271 Near Hanuman Statue Karol Bagh,Karol Bagh,Delhi,1599.0,1199,25.0 ,1
197,197,MedRooms Premium 165 Rajouri Garden Metro Station,Rajouri Garden,Delhi,3799.0,2849,25.0 ,3
198,198,MedRooms  313 Channa Market 14A/4 Karol Bagh,Karol Bagh,Delhi,2049.0,1537,25.0 ,2
199,199,MedRooms  078 Ring Road GK1,Near Nehru Place,Delhi,4199.0,3149,25.0 ,5
200,200,MedRooms  174 New Delhi Railway Station 2,Ram Nagar,Delhi,1799.0,1349,25.0 ,5
201,201,MedRooms Premium 546 Green Park Metro,Near Green Park Metro,Delhi,2999.0,2249,25.0 ,1
202,202,MedRooms  085 Hauz Khas District Park,Safdarjung Enclave,Delhi,2999.0,2249,25.0 ,3
203,203,MedRooms  301 Vasant Kunj Near DPS,Opposite DPS School Gate No. 1,Delhi,2599.0,1949,25.0 ,4
204,204,MedRooms  530 Krishna Gali Near NDLS Gate 1,"Near New Delhi Railway Station, Paharganj",Delhi,1299.0,974,25.0 ,2
205,205,MedRooms Premium 137 Dwarka Sector 12,Dwarka,Delhi,3749.0,2812,25.0 ,5
206,206,MedRooms  314 10174/1 Gurudwara Road Karol Bagh,Karol Bagh,Delhi,1399.0,1049,25.0 ,2
207,207,MedRooms  653 Near Kailash Colony Metro,Kailash Colony,Delhi,2749.0,2062,25.0 ,2
208,208,MedRooms  108 Near Karol Bagh Metro Station 1,Karol Bagh,Delhi,1199.0,899,25.0 ,5
209,209,MedRooms  580 Karol Bagh 17A/59,"WEA, Karol Bag, Near RBL Bank",Delhi,1349.0,1012,25.0 ,4
210,210,MedRooms Premium 239 Near Rajendra Nagar Metro Station,New Rajinder Nagar,Delhi,3349.0,2512,25.0 ,5
211,211,MedRooms  574 Near Kirti Nagar,Near Kirti Nagar Police Station,Delhi,1949.0,1462,25.0 ,1
212,212,MedRooms  342 Near RK Ashram Metro Station 4,"Main Bazaar, Main Bazar Road, Paharganj",Delhi,1099.0,824,25.0 ,0
213,213,MedRooms Premium 141 Anand Vihar 2,Near Karkardooma Metro Station,Delhi,3549.0,2662,25.0 ,1
214,214,MedRooms  209 Karol Bagh 13A/22,Karol Bagh,Delhi,2249.0,1687,25.0 ,0
215,215,MedRooms  455 Near Karol Bagh Metro Station 2,Karol Bagh,Delhi,1699.0,1274,25.0 ,4
216,216,MedRooms  147 Karol Bagh 14A/7,Karol Bagh,Delhi,2399.0,1799,25.0 ,2
217,217,MedRooms Premium 582 Pitampura,"Near Kohat Enclave Metro Station, Opposite Metro Pillar No. 332",Delhi,5099.0,3824,25.0 ,5
218,218,MedRooms  343 Main Bazar Paharganj 4350,"Kaseru Walan, Paharganj",Delhi,1249.0,937,25.0 ,1
219,219,MedRooms Homes 328 Chhatarpur,"Maidan Garhi Road,Chattarpur",Delhi,1599.0,1199,25.0 ,5
220,220,MedRooms  226 Near Jhandewalan Metro 1,Karol Bagh,Delhi,1599.0,1199,25.0 ,1
221,221,MedRooms  265 Balaji Mandir Karol Bagh,Karol Bagh,Delhi,1799.0,1349,25.0 ,2
222,222,MedRooms  255 Karol Bagh Saraswati Marg,Karol Bagh,Delhi,1249.0,937,25.0 ,0
223,223,MedRooms  274 Dwarka Sector 7,"Ramphal Chowk, Dwarka",Delhi,1949.0,1462,25.0 ,0
224,224,MedRooms  445 Saket Metro,Saiyad ul Ajaib,Delhi,2099.0,1574,25.0 ,0
225,225,MedRooms Premium 140 Connaught Place,Barakhamba,Delhi,6149.0,4612,25.0 ,4
226,226,MedRooms  332 New Delhi Railway Station Paharganj,"Kaseru Walan, Paharganj",Delhi,1349.0,1012,25.0 ,3
227,227,MedRooms Homes 508 G Block Saket,Saket,Delhi,1449.0,1087,25.0 ,5
228,228,MedRooms Premium 334 Naraina,Naraina Vihar,Delhi,3799.0,2849,25.0 ,0
229,229,MedRooms Premium 234 Paschim Vihar,Paschim Vihar,Delhi,3549.0,2662,25.0 ,2
230,230,MedRooms Homes 318 Kalkaji E Block,Kalkaji,Delhi,2099.0,1574,25.0 ,5
231,231,MedRooms Premium 564 Nehru Place Ring Road,Nehru Place,Delhi,4399.0,3299,25.0 ,4
232,232,MedRooms  228 Near RK Ashram Metro Station 2,Paharganj,Delhi,1499.0,1124,25.0 ,1
233,233,MedRooms Apartments 202 Saket Extension,"Near Malkhan Singh Marg, Street no.16",Delhi,1199.0,899,25.0 ,5
234,234,MedRooms  093 Kalkaji Mandir Delhi,Kalkaji,Delhi,1899.0,1424,25.0 ,4
235,235,MedRooms Premium 008 IGI Airport Link Road,"Mahipalpur, NH -8, Near IGI Airport, Delhi Gurgaon Expy, Block RZ, Mahipalpur Village",Delhi,3699.0,2774,25.0 ,2
236,236,MedRooms  629 New Rohtak Road Karol Bagh,"Rohtak Road, Karol Bagh",Delhi,1449.0,1087,25.0 ,2
237,237,MedRooms  319 IGI Airport Near Fun N Food Village,"Kapashera Road, Bijwasan",Delhi,2199.0,1649,25.0 ,1
238,238,MedRooms  119 New Delhi Railway Station,Paharganj,Delhi,1349.0,1012,25.0 ,3
239,239,MedRooms Premium 189 GK 1 R Block,Greater Kailash Part - 1,Delhi,3949.0,2962,25.0 ,5
240,240,MedRooms  094 Karol Bagh 53/1,Karol Bagh,Delhi,2049.0,1537,25.0 ,4
